Code INPN;Code Onema espece;Inpn1;Liste Rouge Europ;Liste Rouge Metropole;Liste Rouge Mondiale;Liste Rouge Regionale;Nom Francais;Nom Scien Valide;Nom usuel espece
67286;ABH;http://inpn.mnhn.fr/espece/cd_nom/67286;peu concernée;peu concernée;peu concernée;non évaluée car marginale ou introduite;Able de Heckel;Leucaspius delineatus (Heckel, 1843);Able de Heckel
67111;ABL;http://inpn.mnhn.fr/espece/cd_nom/67111;peu concernée;peu concernée;peu concernée;peu concernée;Ablette;Alburnus alburnus (Linnaeus, 1758);Ablette
66967;ALA;http://inpn.mnhn.fr/espece/cd_nom/66967;peu concernée;vulnérable;peu concernée;en danger;Grande Alose;Alosa alosa (Linnaeus, 1758);Grande Alose
66832;ANG;http://inpn.mnhn.fr/espece/cd_nom/66832;en danger critique;en danger critique;en danger critique;en danger critique;Anguille européenne;Anguilla anguilla (Linnaeus, 1758);Anguille européenne
18437;APP;http://inpn.mnhn.fr/espece/cd_nom/18437;pas disponible;vulnérable;en danger;en danger;Écrevisse à pattes blanches;Austropotamobius pallipes (Lereboullet, 1858);Écrevisse à pattes blanches
162666;ASL;http://inpn.mnhn.fr/espece/cd_nom/162666;pas disponible;non évaluée car marginale ou introduite;peu concernée;non évaluée car marginale ou introduite;Écrevisse à pattes grêles;Astacus leptodactylus Eschscholtz, 1823;Écrevisse à pattes grêles
69346;BBG;http://inpn.mnhn.fr/espece/cd_nom/69346;pas disponible;non évaluée car marginale ou introduite;peu concernée;non évaluée car marginale ou introduite;Achigan à grande bouche;Micropterus salmoides (Lacepède, 1802);Achigan à grande bouche
67420;BOU;http://inpn.mnhn.fr/espece/cd_nom/67420;peu concernée;peu concernée;peu concernée;non évaluée car marginale ou introduite;Bouvière;Rhodeus amarus (Bloch, 1782);Bouvière
67203;BRB;http://inpn.mnhn.fr/espece/cd_nom/67203;peu concernée;peu concernée;peu concernée;peu concernée;Brème bordelière;Blicca bjoerkna (Linnaeus, 1758);Brème bordelière
67074;BRE;http://inpn.mnhn.fr/espece/cd_nom/67074;peu concernée;peu concernée;peu concernée;peu concernée;Brème commune;Abramis brama (Linnaeus, 1758);Brème commune
67606;BRO;http://inpn.mnhn.fr/espece/cd_nom/67606;peu concernée;vulnérable;peu concernée;quasi menacée;Brochet;Esox lucius Linnaeus, 1758;Brochet
;BRX;;;;;;;;
67210;CAG;http://inpn.mnhn.fr/espece/cd_nom/67210;pas disponible;non évaluée car marginale ou introduite;pas disponible;non évaluée car marginale ou introduite;Carassin argenté;Carassius gibelio (Bloch, 1782);Carassin argenté
67206;CAS;;;;;;Carassin commun;Carassius carassius (Linnaeus, 1758);Carassin commun
67058;CCO;http://inpn.mnhn.fr/espece/cd_nom/67058;vulnérable;peu concernée;vulnérable;peu concernée;Carpe commune, Carpat, Carpeau, Escarpo, Kerpaille ( Français );Cyprinus carpio Linnaeus, 1758;Carpe commune, Carpat, Carpeau, Escarpo, Kerpaille ( Français )
67058;CCU;http://inpn.mnhn.fr/espece/cd_nom/67058;vulnérable;peu concernée;vulnérable;peu concernée;Carpe commune, Carpat, Carpeau, Escarpo, Kerpaille ( Français );Cyprinus carpio Linnaeus, 1758;Carpe commune, Carpat, Carpeau, Escarpo, Kerpaille ( Français )
69182;CHA;http://inpn.mnhn.fr/espece/cd_nom/69182;peu concernée;données insuffisantes pour évaluer;peu concernée;peu concernée;Chabot;Cottus gobio Linnaeus, 1758;Chabot
67310;CHE;http://inpn.mnhn.fr/espece/cd_nom/67310;peu concernée;peu concernée;peu concernée;peu concernée;Chevaine;Squalius cephalus (Linnaeus, 1758);Chevaine
67058;CMI;http://inpn.mnhn.fr/espece/cd_nom/67058;vulnérable;peu concernée;vulnérable;peu concernée;Carpe commune, Carpat, Carpeau, Escarpo, Kerpaille ( Français );Cyprinus carpio Linnaeus, 1758;Carpe commune, Carpat, Carpeau, Escarpo, Kerpaille ( Français )
x;CYP;;;;;;x;;x
69010;EPI;http://inpn.mnhn.fr/espece/cd_nom/69010;peu concernée;peu concernée;peu concernée;peu concernée;Epinoche;Gasterosteus aculeatus Linnaeus, 1758;Epinoche
69016;EPT;http://inpn.mnhn.fr/espece/cd_nom/69016;peu concernée;peu concernée;peu concernée;peu concernée;Epinochette;Pungitius pungitius (Linnaeus, 1758);Epinochette
70554;FLE;http://inpn.mnhn.fr/espece/cd_nom/70554;peu concernée;données insuffisantes pour évaluer;peu concernée;données insuffisantes pour évaluer;Flet;Platichthys flesus (Linnaeus, 1758);Flet
68827;GAM;http://inpn.mnhn.fr/espece/cd_nom/68827;pas disponible;non évaluée car marginale ou introduite;peu concernée;non évaluée car marginale ou introduite;Gambusie;Gambusia holbrooki Girard, 1859;Gambusie
67422;GAR;http://inpn.mnhn.fr/espece/cd_nom/67422;peu concernée;peu concernée;peu concernée;peu concernée;Gardon;Rutilus rutilus (Linnaeus, 1758);Gardon
67257;GOU;http://inpn.mnhn.fr/espece/cd_nom/67257;peu concernée;données insuffisantes pour évaluer;peu concernée;peu concernée;Goujon;Gobio gobio (Linnaeus, 1758);Goujon
69354;GRE;http://inpn.mnhn.fr/espece/cd_nom/69354;pas disponible;peu concernée;pas disponible;non évaluée car marginale ou introduite;Grémille;Gymnocephalus cernuus (Linnaeus, 1758);Grémille
x;HYC;;;;;;x;;x
67304;IDE;http://inpn.mnhn.fr/espece/cd_nom/67304;peu concernée;données insuffisantes pour évaluer;peu concernée;non évaluée car marginale ou introduite;Ide mélanote;Leuciscus idus (Linnaeus, 1758);Ide mélanote
67550;LOF;http://inpn.mnhn.fr/espece/cd_nom/67550;peu concernée;peu concernée;peu concernée;peu concernée;Loche franche;Barbatula barbatula (Linnaeus, 1758);Loche franche
66315;LPM;http://inpn.mnhn.fr/espece/cd_nom/66315;peu concernée;quasi menacée;peu concernée;peu concernée;Lamproie marine;Petromyzon marinus Linnaeus, 1758;Lamproie marine
66333;LPP;http://inpn.mnhn.fr/espece/cd_nom/66333;peu concernée;peu concernée;peu concernée;peu concernée;Lamproie de Planer;Lampetra planeri (Bloch, 1784);Lamproie de Planer
66330;LPR;http://inpn.mnhn.fr/espece/cd_nom/66330;peu concernée;vulnérable;peu concernée;données insuffisantes pour évaluer;Lamproie fluviatile;Lampetra fluviatilis (Linnaeus, 1758);Lamproie fluviatile
x;MUC;;;;;;x;;x
69790;MUP;http://inpn.mnhn.fr/espece/cd_nom/69790;peu concernée;peu concernée;peu concernée;données insuffisantes pour évaluer;Mulet porc;Liza ramada (Risso, 1827);Mulet porc
17646;OCL;http://inpn.mnhn.fr/espece/cd_nom/17646;pas disponible;non évaluée car marginale ou introduite;peu concernée;non évaluée car marginale ou introduite;Écrevisse américaine;Orconectes limosus (Rafinesque, 1817);Écrevisse américaine
162668;PCC;http://inpn.mnhn.fr/espece/cd_nom/162668;pas disponible;non évaluée car marginale ou introduite;peu concernée;non évaluée car marginale ou introduite;Écrevisse de Louisiane;Procambarus clarkii (Girard, 1852);Écrevisse de Louisiane
67571;PCH;http://inpn.mnhn.fr/espece/cd_nom/67571;pas disponible;non évaluée car marginale ou introduite;peu concernée;non évaluée car marginale ou introduite;Poisson-chat;Ameiurus melas (Rafinesque, 1820);Poisson-chat
69350;PER;http://inpn.mnhn.fr/espece/cd_nom/69350;peu concernée;peu concernée;peu concernée;peu concernée;Perche;Perca fluviatilis Linnaeus, 1758;Perche
69338;PES;http://inpn.mnhn.fr/espece/cd_nom/69338;pas disponible;non évaluée car marginale ou introduite;peu concernée;non évaluée car marginale ou introduite;Perche-soleil;Lepomis gibbosus (Linnaeus, 1758);Perche-soleil
162667;PFL;http://inpn.mnhn.fr/espece/cd_nom/162667;pas disponible;non évaluée car marginale ou introduite;peu concernée;non évaluée car marginale ou introduite;Écrevisse du Pacifique;Pacifastacus leniusculus (Dana, 1852);Écrevisse du Pacifique
70548;PLI;http://inpn.mnhn.fr/espece/cd_nom/70548;peu concernée;pas disponible;peu concernée;non évaluée car marginale ou introduite;Plie;Pleuronectes platessa Linnaeus, 1758;Plie
67415;PSR;http://inpn.mnhn.fr/espece/cd_nom/67415;pas disponible;non évaluée car marginale ou introduite;peu concernée;non évaluée car marginale ou introduite;Pseudorasbora;Pseudorasbora parva (Temminck & Schlegel, 1846);Pseudorasbora
67466;ROT;http://inpn.mnhn.fr/espece/cd_nom/67466;peu concernée;peu concernée;peu concernée;peu concernée;Rotengle;Scardinius erythrophthalmus (Linnaeus, 1758);Rotengle
69372;SAN;http://inpn.mnhn.fr/espece/cd_nom/69372;peu concernée;non évaluée car marginale ou introduite;peu concernée;non évaluée car marginale ou introduite;Sandre;Sander lucioperca (Linnaeus, 1758);Sandre
67765;SAT;http://inpn.mnhn.fr/espece/cd_nom/67765;vulnérable;vulnérable;pas disponible;quasi menacée;Saumon atlantique;Salmo salar Linnaeus, 1758;Saumon atlantique
67817;SDF;http://inpn.mnhn.fr/espece/cd_nom/67817;pas disponible;non évaluée car marginale ou introduite;pas disponible;non évaluée car marginale ou introduite;Omble de fontaine;Salvelinus fontinalis (Mitchill, 1814);Omble de fontaine
67585;SIL;http://inpn.mnhn.fr/espece/cd_nom/67585;peu concernée;non évaluée car marginale ou introduite;peu concernée;non évaluée car marginale ou introduite;Silure glane;Silurus glanis Linnaeus, 1758;Silure glane
67104;SPI;http://inpn.mnhn.fr/espece/cd_nom/67104;peu concernée;peu concernée;pas disponible;non évaluée car marginale ou introduite;Spirlin;Alburnoides bipunctatus (Bloch, 1782);Spirlin
67804;TAC;http://inpn.mnhn.fr/espece/cd_nom/67804;pas disponible;non évaluée car marginale ou introduite;pas disponible;non évaluée car marginale ou introduite;Truite arc-en-ciel;Oncorhynchus mykiss (Walbaum, 1792);Truite arc-en-ciel
67478;TAN;http://inpn.mnhn.fr/espece/cd_nom/67478;peu concernée;peu concernée;peu concernée;données insuffisantes pour évaluer;Tanche;Tinca tinca (Linnaeus, 1758);Tanche
67772;TRF;http://inpn.mnhn.fr/espece/cd_nom/67772;peu concernée;peu concernée;peu concernée;peu concernée;Truite de mer, Truite commune, Truite d'Europe ( Français );Salmo trutta Linnaeus, 1758;Truite de mer, Truite commune, Truite d'Europe ( Français )
67772;TRM;http://inpn.mnhn.fr/espece/cd_nom/67772;peu concernée;peu concernée;peu concernée;peu concernée;Truite de mer, Truite commune, Truite d'Europe ( Français );Salmo trutta Linnaeus, 1758;Truite de mer, Truite commune, Truite d'Europe ( Français )
67404;VAI;http://inpn.mnhn.fr/espece/cd_nom/67404;peu concernée;données insuffisantes pour évaluer;peu concernée;peu concernée;Vairon;Phoxinus phoxinus (Linnaeus, 1758);Vairon
67292;VAR;http://inpn.mnhn.fr/espece/cd_nom/67292;peu concernée;données insuffisantes pour évaluer;peu concernée;données insuffisantes pour évaluer;Vandoise rostrée;Leuciscus burdigalensis Valenciennes, 1844;Vandoise rostrée
